"id","created_at","customer_id","processingtype","status","total_amount"
816745,2026-04-13 01:05:22.663,746,SYNC,CONFIRMED,500.00
816749,2026-04-13 01:05:22.675,327,SYNC,CONFIRMED,500.00
816838,2026-04-13 01:05:23.228,773,SYNC,FAILED_PAYMENT,1500.00
816847,2026-04-13 01:05:23.275,564,SYNC,CONFIRMED,500.00
816849,2026-04-13 01:05:23.286,318,SYNC,FAILED_PAYMENT,1500.00
816852,2026-04-13 01:05:23.309,148,SYNC,CONFIRMED,500.00
816853,2026-04-13 01:05:23.332,636,SYNC,CONFIRMED,500.00
816856,2026-04-13 01:05:23.350,874,SYNC,CONFIRMED,500.00
816857,2026-04-13 01:05:23.371,417,SYNC,CONFIRMED,500.00
816869,2026-04-13 01:05:23.447,632,SYNC,FAILED_PAYMENT,1500.00
816874,2026-04-13 01:05:23.468,274,SYNC,CONFIRMED,500.00
816878,2026-04-13 01:05:23.486,430,SYNC,CONFIRMED,500.00
816881,2026-04-13 01:05:23.514,101,SYNC,CONFIRMED,500.00
816885,2026-04-13 01:05:23.527,187,SYNC,CONFIRMED,500.00
816886,2026-04-13 01:05:23.545,616,SYNC,CONFIRMED,500.00
816903,2026-04-13 01:05:23.639,669,SYNC,FAILED_PAYMENT,1500.00
816910,2026-04-13 01:05:23.663,671,SYNC,CONFIRMED,500.00
817046,2026-04-13 01:05:24.546,448,SYNC,FAILED_PAYMENT,1500.00
817053,2026-04-13 01:05:24.580,429,SYNC,CONFIRMED,500.00
817056,2026-04-13 01:05:24.601,613,SYNC,FAILED_PAYMENT,1500.00
817057,2026-04-13 01:05:24.611,64,SYNC,FAILED_PAYMENT,1500.00
817059,2026-04-13 01:05:24.623,194,SYNC,CONFIRMED,500.00
817062,2026-04-13 01:05:24.633,860,SYNC,FAILED_PAYMENT,1500.00
817070,2026-04-13 01:05:24.679,312,SYNC,CONFIRMED,500.00
817071,2026-04-13 01:05:24.689,747,SYNC,CONFIRMED,500.00
817072,2026-04-13 01:05:24.698,914,SYNC,FAILED_PAYMENT,1500.00
817077,2026-04-13 01:05:24.710,458,SYNC,FAILED_PAYMENT,1500.00
817081,2026-04-13 01:05:24.758,208,SYNC,CONFIRMED,500.00
817085,2026-04-13 01:05:24.771,1,SYNC,CONFIRMED,500.00
817087,2026-04-13 01:05:24.784,933,SYNC,CONFIRMED,500.00
817100,2026-04-13 01:05:24.881,23,SYNC,CONFIRMED,500.00
817103,2026-04-13 01:05:24.898,374,SYNC,CONFIRMED,500.00
817105,2026-04-13 01:05:24.911,528,SYNC,FAILED_PAYMENT,1500.00
817113,2026-04-13 01:05:24.932,396,SYNC,FAILED_PAYMENT,1500.00
817151,2026-04-13 01:05:25.192,884,SYNC,FAILED_PAYMENT,1500.00
817167,2026-04-13 01:05:25.271,968,SYNC,FAILED_PAYMENT,1500.00
817168,2026-04-13 01:05:25.293,179,SYNC,CONFIRMED,500.00
817170,2026-04-13 01:05:25.301,598,SYNC,FAILED_PAYMENT,1500.00
817173,2026-04-13 01:05:25.313,192,SYNC,CONFIRMED,500.00
817176,2026-04-13 01:05:25.333,35,SYNC,FAILED_PAYMENT,1500.00
817195,2026-04-13 01:05:25.486,919,SYNC,CONFIRMED,500.00
817199,2026-04-13 01:05:25.503,452,SYNC,CONFIRMED,500.00
817202,2026-04-13 01:05:25.522,776,SYNC,CONFIRMED,500.00
817204,2026-04-13 01:05:25.533,364,SYNC,CONFIRMED,500.00
817205,2026-04-13 01:05:25.547,545,SYNC,CONFIRMED,500.00
817212,2026-04-13 01:05:25.586,221,SYNC,CONFIRMED,500.00
817215,2026-04-13 01:05:25.602,999,SYNC,FAILED_PAYMENT,1500.00
