"id","created_at","customer_id","processingtype","status","total_amount"
819638,2026-04-13 01:10:03.783,228,SYNC,FAILED_PAYMENT,1500.00
819639,2026-04-13 01:10:03.846,923,SYNC,CONFIRMED,500.00
819644,2026-04-13 01:10:04.085,330,SYNC,CONFIRMED,500.00
819645,2026-04-13 01:10:04.129,246,SYNC,FAILED_PAYMENT,1500.00
819646,2026-04-13 01:10:04.159,424,SYNC,FAILED_PAYMENT,1500.00
819647,2026-04-13 01:10:04.182,836,SYNC,CONFIRMED,500.00
819648,2026-04-13 01:10:04.198,186,SYNC,CONFIRMED,500.00
819649,2026-04-13 01:10:04.220,593,SYNC,FAILED_PAYMENT,1500.00
819650,2026-04-13 01:10:04.257,79,SYNC,FAILED_PAYMENT,1500.00
819651,2026-04-13 01:10:04.298,177,SYNC,FAILED_PAYMENT,1500.00
819652,2026-04-13 01:10:04.339,392,SYNC,CONFIRMED,500.00
819655,2026-04-13 01:10:04.386,975,SYNC,FAILED_PAYMENT,1500.00
819656,2026-04-13 01:10:04.470,235,SYNC,FAILED_PAYMENT,1500.00
819659,2026-04-13 01:10:04.517,190,SYNC,FAILED_PAYMENT,1500.00
819661,2026-04-13 01:10:04.573,619,SYNC,FAILED_PAYMENT,1500.00
819662,2026-04-13 01:10:04.593,802,SYNC,CONFIRMED,500.00
819663,2026-04-13 01:10:04.646,760,SYNC,CONFIRMED,500.00
819664,2026-04-13 01:10:04.758,328,SYNC,CONFIRMED,500.00
819665,2026-04-13 01:10:04.776,597,SYNC,FAILED_PAYMENT,1500.00
819666,2026-04-13 01:10:04.799,622,SYNC,FAILED_PAYMENT,1500.00
819671,2026-04-13 01:10:04.862,164,SYNC,CONFIRMED,500.00
819682,2026-04-13 01:10:05.127,749,SYNC,FAILED_PAYMENT,1500.00
819683,2026-04-13 01:10:05.173,369,SYNC,CONFIRMED,500.00
819684,2026-04-13 01:10:05.214,799,SYNC,CONFIRMED,500.00
819685,2026-04-13 01:10:05.235,211,SYNC,FAILED_PAYMENT,1500.00
819689,2026-04-13 01:10:05.331,394,SYNC,CONFIRMED,500.00
819703,2026-04-13 01:10:05.544,43,SYNC,CONFIRMED,500.00
819704,2026-04-13 01:10:05.558,183,SYNC,CONFIRMED,500.00
819705,2026-04-13 01:10:05.601,716,SYNC,FAILED_PAYMENT,1500.00
819706,2026-04-13 01:10:05.628,649,SYNC,CONFIRMED,500.00
819708,2026-04-13 01:10:05.640,190,SYNC,CONFIRMED,500.00
819710,2026-04-13 01:10:05.651,175,SYNC,CONFIRMED,500.00
819711,2026-04-13 01:10:05.684,866,SYNC,FAILED_PAYMENT,1500.00
819712,2026-04-13 01:10:05.701,780,SYNC,CONFIRMED,500.00
819713,2026-04-13 01:10:05.713,589,SYNC,CONFIRMED,500.00
819714,2026-04-13 01:10:05.721,1000,SYNC,CONFIRMED,500.00
819715,2026-04-13 01:10:05.745,954,SYNC,FAILED_PAYMENT,1500.00
819718,2026-04-13 01:10:05.777,825,SYNC,CONFIRMED,500.00
819719,2026-04-13 01:10:05.848,45,SYNC,CONFIRMED,500.00
819720,2026-04-13 01:10:05.870,727,SYNC,FAILED_PAYMENT,1500.00
819721,2026-04-13 01:10:05.904,572,SYNC,CONFIRMED,500.00
819729,2026-04-13 01:10:06.009,348,SYNC,FAILED_PAYMENT,1500.00
819736,2026-04-13 01:10:06.088,853,SYNC,FAILED_PAYMENT,1500.00
819737,2026-04-13 01:10:06.113,734,SYNC,CONFIRMED,500.00
819738,2026-04-13 01:10:06.148,225,SYNC,CONFIRMED,500.00
819739,2026-04-13 01:10:06.175,76,SYNC,CONFIRMED,500.00
819746,2026-04-13 01:10:06.271,431,SYNC,CONFIRMED,500.00
819751,2026-04-13 01:10:06.339,313,SYNC,CONFIRMED,500.00
819753,2026-04-13 01:10:06.351,417,SYNC,FAILED_PAYMENT,1500.00
819756,2026-04-13 01:10:06.425,722,SYNC,CONFIRMED,500.00
