"id","created_at","customer_id","processingtype","status","total_amount"
839760,2026-04-13 01:15:17.571,852,ASYNC,FAILED_PAYMENT,1500.00
839766,2026-04-13 01:15:17.698,431,ASYNC,CONFIRMED,500.00
839769,2026-04-13 01:15:17.759,289,ASYNC,CONFIRMED,500.00
839770,2026-04-13 01:15:17.770,974,ASYNC,FAILED_PAYMENT,1500.00
839771,2026-04-13 01:15:17.805,309,ASYNC,FAILED_PAYMENT,1500.00
839773,2026-04-13 01:15:17.856,414,ASYNC,FAILED_PAYMENT,1500.00
839784,2026-04-13 01:15:18.038,821,ASYNC,CONFIRMED,500.00
839830,2026-04-13 01:15:18.701,813,ASYNC,FAILED_PAYMENT,1500.00
839831,2026-04-13 01:15:18.707,649,ASYNC,CONFIRMED,500.00
839832,2026-04-13 01:15:18.722,395,ASYNC,CONFIRMED,500.00
839833,2026-04-13 01:15:18.737,199,ASYNC,CONFIRMED,500.00
839842,2026-04-13 01:15:18.943,969,ASYNC,CONFIRMED,500.00
839844,2026-04-13 01:15:18.947,92,ASYNC,FAILED_PAYMENT,1500.00
839845,2026-04-13 01:15:18.964,731,ASYNC,CONFIRMED,500.00
839855,2026-04-13 01:15:19.099,183,ASYNC,FAILED_PAYMENT,1500.00
839856,2026-04-13 01:15:19.124,852,ASYNC,CONFIRMED,500.00
839857,2026-04-13 01:15:19.164,231,ASYNC,FAILED_PAYMENT,1500.00
839858,2026-04-13 01:15:19.169,720,ASYNC,FAILED_PAYMENT,1500.00
839859,2026-04-13 01:15:19.179,305,ASYNC,CONFIRMED,500.00
839860,2026-04-13 01:15:19.196,383,ASYNC,CONFIRMED,500.00
839870,2026-04-13 01:15:19.311,356,ASYNC,FAILED_PAYMENT,1500.00
839871,2026-04-13 01:15:19.331,26,ASYNC,CONFIRMED,500.00
839875,2026-04-13 01:15:19.345,532,ASYNC,FAILED_PAYMENT,1500.00
839876,2026-04-13 01:15:19.350,44,ASYNC,FAILED_PAYMENT,1500.00
839877,2026-04-13 01:15:19.364,199,ASYNC,FAILED_PAYMENT,1500.00
839878,2026-04-13 01:15:19.402,783,ASYNC,CONFIRMED,500.00
839879,2026-04-13 01:15:19.415,452,ASYNC,FAILED_PAYMENT,1500.00
839880,2026-04-13 01:15:19.437,93,ASYNC,CONFIRMED,500.00
839881,2026-04-13 01:15:19.444,186,ASYNC,FAILED_PAYMENT,1500.00
839882,2026-04-13 01:15:19.494,625,ASYNC,CONFIRMED,500.00
839883,2026-04-13 01:15:19.499,635,ASYNC,CONFIRMED,500.00
839884,2026-04-13 01:15:19.537,928,ASYNC,FAILED_PAYMENT,1500.00
839885,2026-04-13 01:15:19.548,594,ASYNC,FAILED_PAYMENT,1500.00
839886,2026-04-13 01:15:19.558,693,ASYNC,FAILED_PAYMENT,1500.00
839887,2026-04-13 01:15:19.563,505,ASYNC,FAILED_PAYMENT,1500.00
839888,2026-04-13 01:15:19.567,536,ASYNC,CONFIRMED,500.00
839889,2026-04-13 01:15:19.576,372,ASYNC,CONFIRMED,500.00
839890,2026-04-13 01:15:19.585,46,ASYNC,FAILED_PAYMENT,1500.00
839891,2026-04-13 01:15:19.627,900,ASYNC,CONFIRMED,500.00
839892,2026-04-13 01:15:19.642,923,ASYNC,CONFIRMED,500.00
839893,2026-04-13 01:15:19.663,39,ASYNC,FAILED_PAYMENT,1500.00
839894,2026-04-13 01:15:19.666,201,ASYNC,FAILED_PAYMENT,1500.00
839895,2026-04-13 01:15:19.684,542,ASYNC,CONFIRMED,500.00
839900,2026-04-13 01:15:19.760,547,ASYNC,FAILED_PAYMENT,1500.00
839903,2026-04-13 01:15:19.798,117,ASYNC,CONFIRMED,500.00
839904,2026-04-13 01:15:19.802,11,ASYNC,CONFIRMED,500.00
839908,2026-04-13 01:15:19.825,981,ASYNC,CONFIRMED,500.00
839920,2026-04-13 01:15:20.002,883,ASYNC,CONFIRMED,500.00
839921,2026-04-13 01:15:20.039,514,ASYNC,CONFIRMED,500.00
839923,2026-04-13 01:15:20.043,809,ASYNC,FAILED_PAYMENT,1500.00
839924,2026-04-13 01:15:20.052,813,ASYNC,CONFIRMED,500.00
839925,2026-04-13 01:15:20.057,511,ASYNC,FAILED_PAYMENT,1500.00
839926,2026-04-13 01:15:20.062,357,ASYNC,FAILED_PAYMENT,1500.00
839927,2026-04-13 01:15:20.081,640,ASYNC,FAILED_PAYMENT,1500.00
839928,2026-04-13 01:15:20.112,916,ASYNC,FAILED_PAYMENT,1500.00
839929,2026-04-13 01:15:20.128,368,ASYNC,CONFIRMED,500.00
839930,2026-04-13 01:15:20.143,15,ASYNC,CONFIRMED,500.00
839931,2026-04-13 01:15:20.151,980,ASYNC,FAILED_PAYMENT,1500.00
839932,2026-04-13 01:15:20.190,556,ASYNC,CONFIRMED,500.00
839933,2026-04-13 01:15:20.200,912,ASYNC,FAILED_PAYMENT,1500.00
839935,2026-04-13 01:15:20.209,487,ASYNC,FAILED_PAYMENT,1500.00
839936,2026-04-13 01:15:20.234,981,ASYNC,CONFIRMED,500.00
839937,2026-04-13 01:15:20.241,529,ASYNC,FAILED_PAYMENT,1500.00
839943,2026-04-13 01:15:20.292,700,ASYNC,FAILED_PAYMENT,1500.00
839955,2026-04-13 01:15:20.446,94,ASYNC,FAILED_PAYMENT,1500.00
839956,2026-04-13 01:15:20.450,54,ASYNC,CONFIRMED,500.00
839957,2026-04-13 01:15:20.454,634,ASYNC,CONFIRMED,500.00
839958,2026-04-13 01:15:20.459,876,ASYNC,CONFIRMED,500.00
839971,2026-04-13 01:15:20.630,621,ASYNC,CONFIRMED,500.00
839972,2026-04-13 01:15:20.635,717,ASYNC,CONFIRMED,500.00
839973,2026-04-13 01:15:20.648,389,ASYNC,CONFIRMED,500.00
839974,2026-04-13 01:15:20.660,144,ASYNC,FAILED_PAYMENT,1500.00
839976,2026-04-13 01:15:20.679,230,ASYNC,CONFIRMED,500.00
839983,2026-04-13 01:15:20.775,211,ASYNC,CONFIRMED,500.00
839984,2026-04-13 01:15:20.790,175,ASYNC,FAILED_PAYMENT,1500.00
839985,2026-04-13 01:15:20.793,690,ASYNC,CONFIRMED,500.00
839986,2026-04-13 01:15:20.798,564,ASYNC,CONFIRMED,500.00
839987,2026-04-13 01:15:20.802,752,ASYNC,FAILED_PAYMENT,1500.00
839988,2026-04-13 01:15:20.839,240,ASYNC,CONFIRMED,500.00
839989,2026-04-13 01:15:20.870,785,ASYNC,CONFIRMED,500.00
839990,2026-04-13 01:15:20.885,360,ASYNC,CONFIRMED,500.00
839993,2026-04-13 01:15:20.891,38,ASYNC,CONFIRMED,500.00
839994,2026-04-13 01:15:20.904,460,ASYNC,CONFIRMED,500.00
839995,2026-04-13 01:15:20.916,417,ASYNC,FAILED_PAYMENT,1500.00
839996,2026-04-13 01:15:20.932,941,ASYNC,CONFIRMED,500.00
839997,2026-04-13 01:15:20.948,693,ASYNC,CONFIRMED,500.00
839998,2026-04-13 01:15:20.952,802,ASYNC,FAILED_PAYMENT,1500.00
840002,2026-04-13 01:15:20.976,417,ASYNC,CONFIRMED,500.00
840003,2026-04-13 01:15:20.997,55,ASYNC,FAILED_PAYMENT,1500.00
840004,2026-04-13 01:15:21.009,971,ASYNC,CONFIRMED,500.00
840007,2026-04-13 01:15:21.033,934,ASYNC,CONFIRMED,500.00
840012,2026-04-13 01:15:21.091,253,ASYNC,CONFIRMED,500.00
840013,2026-04-13 01:15:21.115,817,ASYNC,CONFIRMED,500.00
839762,2026-04-13 01:15:17.594,656,ASYNC,CONFIRMED,500.00
839767,2026-04-13 01:15:17.711,10,ASYNC,FAILED_PAYMENT,1500.00
839786,2026-04-13 01:15:18.040,458,ASYNC,FAILED_PAYMENT,1500.00
839787,2026-04-13 01:15:18.053,61,ASYNC,CONFIRMED,500.00
839788,2026-04-13 01:15:18.070,846,ASYNC,CONFIRMED,500.00
839789,2026-04-13 01:15:18.106,833,ASYNC,CONFIRMED,500.00
839790,2026-04-13 01:15:18.113,426,ASYNC,CONFIRMED,500.00
839791,2026-04-13 01:15:18.126,893,ASYNC,FAILED_PAYMENT,1500.00
839792,2026-04-13 01:15:18.155,860,ASYNC,FAILED_PAYMENT,1500.00
839806,2026-04-13 01:15:18.351,68,ASYNC,CONFIRMED,500.00
839807,2026-04-13 01:15:18.357,17,ASYNC,FAILED_PAYMENT,1500.00
839808,2026-04-13 01:15:18.368,335,ASYNC,CONFIRMED,500.00
839809,2026-04-13 01:15:18.372,57,ASYNC,CONFIRMED,500.00
839810,2026-04-13 01:15:18.376,785,ASYNC,FAILED_PAYMENT,1500.00
839820,2026-04-13 01:15:18.613,327,ASYNC,FAILED_PAYMENT,1500.00
839825,2026-04-13 01:15:18.649,107,ASYNC,FAILED_PAYMENT,1500.00
839826,2026-04-13 01:15:18.655,927,ASYNC,FAILED_PAYMENT,1500.00
839827,2026-04-13 01:15:18.688,439,ASYNC,FAILED_PAYMENT,1500.00
839828,2026-04-13 01:15:18.698,839,ASYNC,CONFIRMED,500.00
839843,2026-04-13 01:15:18.943,898,ASYNC,CONFIRMED,500.00
839846,2026-04-13 01:15:18.967,213,ASYNC,CONFIRMED,500.00
839847,2026-04-13 01:15:18.972,761,ASYNC,CONFIRMED,500.00
839848,2026-04-13 01:15:18.987,135,ASYNC,CONFIRMED,500.00
839849,2026-04-13 01:15:18.994,68,ASYNC,FAILED_PAYMENT,1500.00
839850,2026-04-13 01:15:19.051,811,ASYNC,CONFIRMED,500.00
839851,2026-04-13 01:15:19.060,784,ASYNC,FAILED_PAYMENT,1500.00
839852,2026-04-13 01:15:19.088,720,ASYNC,CONFIRMED,500.00
839853,2026-04-13 01:15:19.092,135,ASYNC,CONFIRMED,500.00
839854,2026-04-13 01:15:19.099,759,ASYNC,FAILED_PAYMENT,1500.00
839861,2026-04-13 01:15:19.198,224,ASYNC,FAILED_PAYMENT,1500.00
839862,2026-04-13 01:15:19.210,39,ASYNC,FAILED_PAYMENT,1500.00
839863,2026-04-13 01:15:19.235,432,ASYNC,FAILED_PAYMENT,1500.00
839864,2026-04-13 01:15:19.243,454,ASYNC,CONFIRMED,500.00
839865,2026-04-13 01:15:19.277,765,ASYNC,CONFIRMED,500.00
839866,2026-04-13 01:15:19.285,578,ASYNC,FAILED_PAYMENT,1500.00
839867,2026-04-13 01:15:19.291,836,ASYNC,FAILED_PAYMENT,1500.00
839868,2026-04-13 01:15:19.297,27,ASYNC,CONFIRMED,500.00
839869,2026-04-13 01:15:19.310,399,ASYNC,FAILED_PAYMENT,1500.00
839872,2026-04-13 01:15:19.332,503,ASYNC,CONFIRMED,500.00
839873,2026-04-13 01:15:19.336,679,ASYNC,CONFIRMED,500.00
839874,2026-04-13 01:15:19.344,795,ASYNC,CONFIRMED,500.00
839896,2026-04-13 01:15:19.686,714,ASYNC,CONFIRMED,500.00
839897,2026-04-13 01:15:19.693,142,ASYNC,FAILED_PAYMENT,1500.00
839898,2026-04-13 01:15:19.698,721,ASYNC,CONFIRMED,500.00
839899,2026-04-13 01:15:19.715,337,ASYNC,CONFIRMED,500.00
839901,2026-04-13 01:15:19.760,252,ASYNC,FAILED_PAYMENT,1500.00
839902,2026-04-13 01:15:19.798,675,ASYNC,CONFIRMED,500.00
839905,2026-04-13 01:15:19.804,195,ASYNC,CONFIRMED,500.00
839906,2026-04-13 01:15:19.814,192,ASYNC,FAILED_PAYMENT,1500.00
839907,2026-04-13 01:15:19.823,269,ASYNC,CONFIRMED,500.00
839909,2026-04-13 01:15:19.839,904,ASYNC,CONFIRMED,500.00
839910,2026-04-13 01:15:19.867,310,ASYNC,FAILED_PAYMENT,1500.00
839911,2026-04-13 01:15:19.877,447,ASYNC,CONFIRMED,500.00
839912,2026-04-13 01:15:19.895,33,ASYNC,CONFIRMED,500.00
839913,2026-04-13 01:15:19.930,760,ASYNC,CONFIRMED,500.00
839914,2026-04-13 01:15:19.939,621,ASYNC,CONFIRMED,500.00
839915,2026-04-13 01:15:19.944,656,ASYNC,FAILED_PAYMENT,1500.00
839916,2026-04-13 01:15:19.959,584,ASYNC,FAILED_PAYMENT,1500.00
839917,2026-04-13 01:15:19.963,846,ASYNC,FAILED_PAYMENT,1500.00
839918,2026-04-13 01:15:19.988,934,ASYNC,CONFIRMED,500.00
839919,2026-04-13 01:15:20.001,724,ASYNC,FAILED_PAYMENT,1500.00
839922,2026-04-13 01:15:20.041,823,ASYNC,CONFIRMED,500.00
839934,2026-04-13 01:15:20.200,269,ASYNC,CONFIRMED,500.00
839938,2026-04-13 01:15:20.244,196,ASYNC,CONFIRMED,500.00
839939,2026-04-13 01:15:20.258,715,ASYNC,CONFIRMED,500.00
839774,2026-04-13 01:15:17.856,219,ASYNC,FAILED_PAYMENT,1500.00
839775,2026-04-13 01:15:17.902,255,ASYNC,FAILED_PAYMENT,1500.00
839794,2026-04-13 01:15:18.172,744,ASYNC,FAILED_PAYMENT,1500.00
839940,2026-04-13 01:15:20.268,27,ASYNC,CONFIRMED,500.00
839941,2026-04-13 01:15:20.274,734,ASYNC,CONFIRMED,500.00
840018,2026-04-13 01:15:21.132,632,ASYNC,CONFIRMED,500.00
840094,2026-04-13 01:15:21.967,814,ASYNC,CONFIRMED,500.00
840134,2026-04-13 01:15:22.325,526,ASYNC,CONFIRMED,500.00
840319,2026-04-13 01:15:23.974,321,ASYNC,FAILED_PAYMENT,1500.00
840367,2026-04-13 01:15:24.315,195,ASYNC,CONFIRMED,500.00
840394,2026-04-13 01:15:24.520,902,ASYNC,CONFIRMED,500.00
840395,2026-04-13 01:15:24.527,206,ASYNC,CONFIRMED,500.00
840396,2026-04-13 01:15:24.532,457,ASYNC,FAILED_PAYMENT,1500.00
840397,2026-04-13 01:15:24.543,737,ASYNC,FAILED_PAYMENT,1500.00
840423,2026-04-13 01:15:24.744,761,ASYNC,CONFIRMED,500.00
840424,2026-04-13 01:15:24.749,479,ASYNC,FAILED_PAYMENT,1500.00
840425,2026-04-13 01:15:24.754,581,ASYNC,CONFIRMED,500.00
840426,2026-04-13 01:15:24.757,873,ASYNC,CONFIRMED,500.00
840427,2026-04-13 01:15:24.768,529,ASYNC,CONFIRMED,500.00
840429,2026-04-13 01:15:24.776,881,ASYNC,CONFIRMED,500.00
840430,2026-04-13 01:15:24.785,597,ASYNC,CONFIRMED,500.00
840431,2026-04-13 01:15:24.787,624,ASYNC,CONFIRMED,500.00
840432,2026-04-13 01:15:24.801,763,ASYNC,CONFIRMED,500.00
840433,2026-04-13 01:15:24.805,124,ASYNC,FAILED_PAYMENT,1500.00
840434,2026-04-13 01:15:24.822,170,ASYNC,CONFIRMED,500.00
840435,2026-04-13 01:15:24.835,55,ASYNC,FAILED_PAYMENT,1500.00
840436,2026-04-13 01:15:24.838,757,ASYNC,FAILED_PAYMENT,1500.00
840437,2026-04-13 01:15:24.846,34,ASYNC,FAILED_PAYMENT,1500.00
