"id","created_at","customer_id","processingtype","status","total_amount"
944535,2026-04-13 22:35:02.521,469,ASYNC,CONFIRMED,150.00
944536,2026-04-13 22:35:02.676,829,ASYNC,CONFIRMED,250.00
944537,2026-04-13 22:35:02.729,983,ASYNC,CONFIRMED,150.00
944538,2026-04-13 22:35:02.822,720,ASYNC,CONFIRMED,250.00
944539,2026-04-13 22:35:02.883,285,ASYNC,CONFIRMED,150.00
944540,2026-04-13 22:35:02.981,617,ASYNC,CONFIRMED,150.00
944541,2026-04-13 22:35:02.986,20,ASYNC,CONFIRMED,250.00
944542,2026-04-13 22:35:03.073,790,ASYNC,CONFIRMED,250.00
944543,2026-04-13 22:35:03.081,254,ASYNC,CONFIRMED,250.00
944544,2026-04-13 22:35:03.084,317,ASYNC,CONFIRMED,150.00
944545,2026-04-13 22:35:03.102,172,ASYNC,CONFIRMED,150.00
944546,2026-04-13 22:35:03.138,311,ASYNC,CONFIRMED,250.00
944547,2026-04-13 22:35:03.145,87,ASYNC,CONFIRMED,250.00
944548,2026-04-13 22:35:03.267,928,ASYNC,CONFIRMED,150.00
944549,2026-04-13 22:35:03.294,325,ASYNC,CONFIRMED,150.00
944550,2026-04-13 22:35:03.331,786,ASYNC,CONFIRMED,150.00
944551,2026-04-13 22:35:03.389,439,ASYNC,CONFIRMED,150.00
944552,2026-04-13 22:35:03.392,303,ASYNC,CONFIRMED,150.00
944553,2026-04-13 22:35:03.430,786,ASYNC,CONFIRMED,250.00
944554,2026-04-13 22:35:03.432,440,ASYNC,CONFIRMED,150.00
944555,2026-04-13 22:35:03.473,688,ASYNC,CONFIRMED,150.00
944556,2026-04-13 22:35:03.478,482,ASYNC,CONFIRMED,150.00
944557,2026-04-13 22:35:03.507,620,ASYNC,CONFIRMED,150.00
944558,2026-04-13 22:35:03.541,865,ASYNC,CONFIRMED,150.00
944559,2026-04-13 22:35:03.563,342,ASYNC,CONFIRMED,150.00
944560,2026-04-13 22:35:03.580,305,ASYNC,CONFIRMED,150.00
944561,2026-04-13 22:35:03.585,773,ASYNC,CONFIRMED,150.00
944562,2026-04-13 22:35:03.591,620,ASYNC,CONFIRMED,250.00
944563,2026-04-13 22:35:03.630,634,ASYNC,CONFIRMED,250.00
944564,2026-04-13 22:35:03.677,769,ASYNC,CONFIRMED,250.00
944565,2026-04-13 22:35:03.691,916,ASYNC,CONFIRMED,250.00
944566,2026-04-13 22:35:03.702,826,ASYNC,CONFIRMED,150.00
944567,2026-04-13 22:35:03.718,756,ASYNC,CONFIRMED,250.00
944568,2026-04-13 22:35:03.723,502,ASYNC,CONFIRMED,150.00
944569,2026-04-13 22:35:03.729,635,ASYNC,CONFIRMED,150.00
944570,2026-04-13 22:35:03.741,297,ASYNC,CONFIRMED,250.00
944571,2026-04-13 22:35:03.807,173,ASYNC,CONFIRMED,150.00
944572,2026-04-13 22:35:03.831,369,ASYNC,CONFIRMED,150.00
944573,2026-04-13 22:35:03.851,998,ASYNC,CONFIRMED,250.00
944575,2026-04-13 22:35:03.857,792,ASYNC,CONFIRMED,150.00
944576,2026-04-13 22:35:03.889,86,ASYNC,CONFIRMED,250.00
944577,2026-04-13 22:35:03.896,868,ASYNC,CONFIRMED,150.00
944578,2026-04-13 22:35:03.904,579,ASYNC,CONFIRMED,150.00
944579,2026-04-13 22:35:03.931,325,ASYNC,CONFIRMED,150.00
944580,2026-04-13 22:35:03.941,406,ASYNC,CONFIRMED,250.00
944581,2026-04-13 22:35:03.973,941,ASYNC,CONFIRMED,250.00
944582,2026-04-13 22:35:04.000,34,ASYNC,CONFIRMED,150.00
944590,2026-04-13 22:35:04.106,923,ASYNC,CONFIRMED,150.00
944591,2026-04-13 22:35:04.126,365,ASYNC,CONFIRMED,250.00
944592,2026-04-13 22:35:04.168,535,ASYNC,CONFIRMED,250.00
944593,2026-04-13 22:35:04.203,884,ASYNC,CONFIRMED,250.00
944596,2026-04-13 22:35:04.216,66,ASYNC,CONFIRMED,250.00
944598,2026-04-13 22:35:04.243,350,ASYNC,CONFIRMED,150.00
944599,2026-04-13 22:35:04.256,990,ASYNC,CONFIRMED,150.00
944600,2026-04-13 22:35:04.285,833,ASYNC,CONFIRMED,250.00
944603,2026-04-13 22:35:04.310,199,ASYNC,CONFIRMED,250.00
944604,2026-04-13 22:35:04.336,688,ASYNC,CONFIRMED,250.00
944605,2026-04-13 22:35:04.354,547,ASYNC,CONFIRMED,250.00
944606,2026-04-13 22:35:04.387,202,ASYNC,CONFIRMED,150.00
944607,2026-04-13 22:35:04.416,679,ASYNC,CONFIRMED,150.00
944608,2026-04-13 22:35:04.427,417,ASYNC,CONFIRMED,250.00
944609,2026-04-13 22:35:04.448,955,ASYNC,CONFIRMED,250.00
944610,2026-04-13 22:35:04.462,803,ASYNC,CONFIRMED,150.00
944611,2026-04-13 22:35:04.464,960,ASYNC,CONFIRMED,250.00
944612,2026-04-13 22:35:04.474,937,ASYNC,CONFIRMED,150.00
944613,2026-04-13 22:35:04.491,466,ASYNC,CONFIRMED,150.00
944614,2026-04-13 22:35:04.516,886,ASYNC,CONFIRMED,250.00
944615,2026-04-13 22:35:04.523,773,ASYNC,CONFIRMED,250.00
944616,2026-04-13 22:35:04.527,791,ASYNC,CONFIRMED,250.00
944622,2026-04-13 22:35:04.593,512,ASYNC,CONFIRMED,250.00
944623,2026-04-13 22:35:04.619,810,ASYNC,CONFIRMED,150.00
944624,2026-04-13 22:35:04.622,108,ASYNC,CONFIRMED,150.00
944625,2026-04-13 22:35:04.635,167,ASYNC,CONFIRMED,150.00
944628,2026-04-13 22:35:04.648,408,ASYNC,CONFIRMED,250.00
944629,2026-04-13 22:35:04.655,518,ASYNC,CONFIRMED,250.00
944630,2026-04-13 22:35:04.672,558,ASYNC,CONFIRMED,250.00
944631,2026-04-13 22:35:04.697,134,ASYNC,CONFIRMED,250.00
944632,2026-04-13 22:35:04.709,792,ASYNC,CONFIRMED,250.00
944646,2026-04-13 22:35:04.912,441,ASYNC,CONFIRMED,250.00
944653,2026-04-13 22:35:04.995,800,ASYNC,CONFIRMED,250.00
944654,2026-04-13 22:35:05.014,885,ASYNC,CONFIRMED,150.00
944660,2026-04-13 22:35:05.049,657,ASYNC,CONFIRMED,250.00
944681,2026-04-13 22:35:05.250,292,ASYNC,CONFIRMED,250.00
944955,2026-04-13 22:35:07.356,326,ASYNC,CONFIRMED,250.00
945445,2026-04-13 22:35:10.373,148,ASYNC,CONFIRMED,150.00
945452,2026-04-13 22:35:10.415,745,ASYNC,CONFIRMED,150.00
945455,2026-04-13 22:35:10.425,208,ASYNC,CONFIRMED,150.00
945456,2026-04-13 22:35:10.433,948,ASYNC,CONFIRMED,150.00
945458,2026-04-13 22:35:10.456,376,ASYNC,CONFIRMED,250.00
