"id","created_at","customer_id","processingtype","status","total_amount"
993175,2026-04-13 23:04:01.719,483,SYNC,CONFIRMED,250.00
993176,2026-04-13 23:04:01.857,344,SYNC,CONFIRMED,150.00
993177,2026-04-13 23:04:02.003,470,SYNC,CONFIRMED,150.00
993178,2026-04-13 23:04:02.109,878,SYNC,CONFIRMED,250.00
993179,2026-04-13 23:04:02.134,767,SYNC,CONFIRMED,150.00
993180,2026-04-13 23:04:02.257,321,SYNC,CONFIRMED,150.00
993181,2026-04-13 23:04:02.271,350,SYNC,CONFIRMED,150.00
993182,2026-04-13 23:04:02.285,884,SYNC,CONFIRMED,250.00
993183,2026-04-13 23:04:02.313,827,SYNC,CONFIRMED,250.00
993184,2026-04-13 23:04:02.321,928,SYNC,CONFIRMED,250.00
993185,2026-04-13 23:04:02.374,241,SYNC,CONFIRMED,150.00
993186,2026-04-13 23:04:02.433,498,SYNC,CONFIRMED,250.00
993187,2026-04-13 23:04:02.608,622,SYNC,CONFIRMED,250.00
993188,2026-04-13 23:04:02.615,153,SYNC,CONFIRMED,250.00
993189,2026-04-13 23:04:02.630,313,SYNC,CONFIRMED,150.00
993190,2026-04-13 23:04:02.632,916,SYNC,CONFIRMED,250.00
993191,2026-04-13 23:04:02.669,968,SYNC,CONFIRMED,250.00
993192,2026-04-13 23:04:02.672,768,SYNC,CONFIRMED,250.00
993193,2026-04-13 23:04:02.691,947,SYNC,CONFIRMED,150.00
993194,2026-04-13 23:04:02.702,336,SYNC,CONFIRMED,250.00
993195,2026-04-13 23:04:02.774,375,SYNC,CONFIRMED,250.00
993196,2026-04-13 23:04:02.792,844,SYNC,CONFIRMED,150.00
993198,2026-04-13 23:04:02.815,880,SYNC,CONFIRMED,250.00
993197,2026-04-13 23:04:02.815,119,SYNC,CONFIRMED,250.00
993199,2026-04-13 23:04:02.828,831,SYNC,CONFIRMED,250.00
993200,2026-04-13 23:04:02.845,925,SYNC,CONFIRMED,250.00
993201,2026-04-13 23:04:02.859,962,SYNC,CONFIRMED,250.00
993202,2026-04-13 23:04:02.928,357,SYNC,CONFIRMED,150.00
993203,2026-04-13 23:04:02.959,131,SYNC,CONFIRMED,150.00
993204,2026-04-13 23:04:02.991,630,SYNC,CONFIRMED,150.00
993205,2026-04-13 23:04:03.023,504,SYNC,CONFIRMED,150.00
993206,2026-04-13 23:04:03.029,266,SYNC,CONFIRMED,150.00
993207,2026-04-13 23:04:03.072,749,SYNC,CONFIRMED,250.00
993208,2026-04-13 23:04:03.081,197,SYNC,CONFIRMED,150.00
993209,2026-04-13 23:04:03.092,435,SYNC,CONFIRMED,250.00
993210,2026-04-13 23:04:03.136,569,SYNC,CONFIRMED,150.00
993211,2026-04-13 23:04:03.179,699,SYNC,CONFIRMED,250.00
993212,2026-04-13 23:04:03.179,392,SYNC,CONFIRMED,150.00
993213,2026-04-13 23:04:03.189,55,SYNC,CONFIRMED,250.00
993214,2026-04-13 23:04:03.198,299,SYNC,CONFIRMED,150.00
993215,2026-04-13 23:04:03.200,701,SYNC,CONFIRMED,250.00
993216,2026-04-13 23:04:03.231,493,SYNC,CONFIRMED,250.00
993217,2026-04-13 23:04:03.248,841,SYNC,CONFIRMED,150.00
993218,2026-04-13 23:04:03.256,105,SYNC,CONFIRMED,150.00
993219,2026-04-13 23:04:03.264,758,SYNC,CONFIRMED,250.00
993220,2026-04-13 23:04:03.309,42,SYNC,CONFIRMED,150.00
993221,2026-04-13 23:04:03.317,99,SYNC,CONFIRMED,250.00
993222,2026-04-13 23:04:03.324,394,SYNC,CONFIRMED,250.00
993223,2026-04-13 23:04:03.332,880,SYNC,CONFIRMED,150.00
993224,2026-04-13 23:04:03.342,85,SYNC,CONFIRMED,250.00
993225,2026-04-13 23:04:03.402,618,SYNC,CONFIRMED,150.00
993226,2026-04-13 23:04:03.435,570,SYNC,CONFIRMED,250.00
993227,2026-04-13 23:04:03.440,150,SYNC,CONFIRMED,150.00
993228,2026-04-13 23:04:03.475,71,SYNC,CONFIRMED,150.00
993229,2026-04-13 23:04:03.483,128,SYNC,CONFIRMED,250.00
993230,2026-04-13 23:04:03.486,231,SYNC,CONFIRMED,250.00
993231,2026-04-13 23:04:03.488,762,SYNC,CONFIRMED,150.00
993232,2026-04-13 23:04:03.498,666,SYNC,CONFIRMED,250.00
993233,2026-04-13 23:04:03.553,307,SYNC,CONFIRMED,250.00
993235,2026-04-13 23:04:03.563,548,SYNC,CONFIRMED,150.00
993234,2026-04-13 23:04:03.563,938,SYNC,CONFIRMED,150.00
993236,2026-04-13 23:04:03.621,526,SYNC,CONFIRMED,250.00
993237,2026-04-13 23:04:03.624,949,SYNC,CONFIRMED,250.00
993239,2026-04-13 23:04:03.646,633,SYNC,CONFIRMED,150.00
993238,2026-04-13 23:04:03.646,187,SYNC,CONFIRMED,250.00
993240,2026-04-13 23:04:03.654,629,SYNC,CONFIRMED,250.00
993241,2026-04-13 23:04:03.676,763,SYNC,CONFIRMED,150.00
993242,2026-04-13 23:04:03.681,676,SYNC,CONFIRMED,250.00
993243,2026-04-13 23:04:03.692,588,SYNC,CONFIRMED,250.00
993244,2026-04-13 23:04:03.708,39,SYNC,CONFIRMED,150.00
993245,2026-04-13 23:04:03.727,443,SYNC,CONFIRMED,150.00
993246,2026-04-13 23:04:03.732,744,SYNC,CONFIRMED,150.00
993247,2026-04-13 23:04:03.747,368,SYNC,CONFIRMED,250.00
993248,2026-04-13 23:04:03.748,936,SYNC,CONFIRMED,250.00
993249,2026-04-13 23:04:03.770,594,SYNC,CONFIRMED,250.00
993250,2026-04-13 23:04:03.794,822,SYNC,CONFIRMED,250.00
993251,2026-04-13 23:04:03.812,422,SYNC,CONFIRMED,250.00
993252,2026-04-13 23:04:03.856,759,SYNC,CONFIRMED,250.00
993253,2026-04-13 23:04:03.863,413,SYNC,CONFIRMED,250.00
993254,2026-04-13 23:04:03.867,682,SYNC,CONFIRMED,250.00
993255,2026-04-13 23:04:03.875,686,SYNC,CONFIRMED,150.00
993256,2026-04-13 23:04:03.908,237,SYNC,CONFIRMED,250.00
993257,2026-04-13 23:04:03.914,368,SYNC,CONFIRMED,250.00
993258,2026-04-13 23:04:03.937,129,SYNC,CONFIRMED,250.00
993259,2026-04-13 23:04:03.944,803,SYNC,CONFIRMED,250.00
993260,2026-04-13 23:04:03.961,721,SYNC,CONFIRMED,150.00
993261,2026-04-13 23:04:03.969,852,SYNC,CONFIRMED,250.00
993262,2026-04-13 23:04:03.974,739,SYNC,CONFIRMED,150.00
993263,2026-04-13 23:04:03.996,821,SYNC,CONFIRMED,150.00
993268,2026-04-13 23:04:04.055,282,SYNC,CONFIRMED,150.00
993269,2026-04-13 23:04:04.070,899,SYNC,CONFIRMED,150.00
993270,2026-04-13 23:04:04.081,759,SYNC,CONFIRMED,250.00
993273,2026-04-13 23:04:04.102,301,SYNC,CONFIRMED,150.00
993277,2026-04-13 23:04:04.137,962,SYNC,CONFIRMED,250.00
993278,2026-04-13 23:04:04.146,976,SYNC,CONFIRMED,250.00
993283,2026-04-13 23:04:04.230,882,SYNC,CONFIRMED,150.00
993285,2026-04-13 23:04:04.253,266,SYNC,CONFIRMED,150.00
993288,2026-04-13 23:04:04.278,721,SYNC,CONFIRMED,150.00
993290,2026-04-13 23:04:04.291,925,SYNC,CONFIRMED,250.00
993291,2026-04-13 23:04:04.301,151,SYNC,CONFIRMED,150.00
993293,2026-04-13 23:04:04.309,945,SYNC,CONFIRMED,250.00
993295,2026-04-13 23:04:04.318,43,SYNC,CONFIRMED,250.00
993296,2026-04-13 23:04:04.351,867,SYNC,CONFIRMED,150.00
993298,2026-04-13 23:04:04.369,953,SYNC,CONFIRMED,250.00
993299,2026-04-13 23:04:04.376,947,SYNC,CONFIRMED,150.00
993303,2026-04-13 23:04:04.414,806,SYNC,CONFIRMED,150.00
993304,2026-04-13 23:04:04.437,785,SYNC,CONFIRMED,150.00
